Series;Time;Value
NSW-IX;2018-09-02-15:50:00;56859107041.491165
NSW-IX;2018-09-02-15:55:00;56411811114.05752
NSW-IX;2018-09-02-16:00:00;56148816149.049904
NSW-IX;2018-09-02-16:05:00;55739570337.29303
NSW-IX;2018-09-02-16:10:00;55469909074.0708
NSW-IX;2018-09-02-16:15:00;55837770881.17403
NSW-IX;2018-09-02-16:20:00;55894285281.7829
NSW-IX;2018-09-02-16:25:00;56069435931.67777
NSW-IX;2018-09-02-16:30:00;56723456179.60653
NSW-IX;2018-09-02-16:35:00;57303848567.50381
NSW-IX;2018-09-02-16:40:00;57480908440.56838
NSW-IX;2018-09-02-16:45:00;58773836795.16238
NSW-IX;2018-09-02-16:50:00;60058157527.211266
NSW-IX;2018-09-02-16:55:00;61305526822.04653
NSW-IX;2018-09-02-17:00:00;63386572004.38723
NSW-IX;2018-09-02-17:05:00;65031923336.818825
NSW-IX;2018-09-02-17:10:00;66550097088.17204
NSW-IX;2018-09-02-17:15:00;67928088851.775894
NSW-IX;2018-09-02-17:20:00;68816300688.69707
NSW-IX;2018-09-02-17:25:00;68773524508.49704
NSW-IX;2018-09-02-17:30:00;69680185690.76564
NSW-IX;2018-09-02-17:35:00;70941864127.1718
NSW-IX;2018-09-02-17:40:00;71742768301.63712
NSW-IX;2018-09-02-17:45:00;73149978140.89648
NSW-IX;2018-09-02-17:50:00;75090605234.54724
NSW-IX;2018-09-02-17:55:00;76654825137.23804
NSW-IX;2018-09-02-18:00:00;77976420176.56485
NSW-IX;2018-09-02-18:05:00;79907131767.4252
NSW-IX;2018-09-02-18:10:00;81588790101.66466
NSW-IX;2018-09-02-18:15:00;83043535905.97305
NSW-IX;2018-09-02-18:20:00;84398456440.73384
NSW-IX;2018-09-02-18:25:00;85678094510.10269
NSW-IX;2018-09-02-18:30:00;87235014288.3855
NSW-IX;2018-09-02-18:35:00;89029732431.69582
NSW-IX;2018-09-02-18:40:00;90796782629.33273
NSW-IX;2018-09-02-18:45:00;92629990983.38318
NSW-IX;2018-09-02-18:50:00;94487994094.97339
NSW-IX;2018-09-02-18:55:00;96160454390.82617
NSW-IX;2018-09-02-19:00:00;98084426811.4244
NSW-IX;2018-09-02-19:05:00;99986963977.51967
NSW-IX;2018-09-02-19:10:00;101683776594.27982
NSW-IX;2018-09-02-19:15:00;103331198744.44373
NSW-IX;2018-09-02-19:20:00;104840924472.20108
NSW-IX;2018-09-02-19:25:00;105960301645.04463
NSW-IX;2018-09-02-19:30:00;107943770581.41162
NSW-IX;2018-09-02-19:35:00;110551735075.11568
NSW-IX;2018-09-02-19:40:00;113192106175.81194
NSW-IX;2018-09-02-19:45:00;115597039640.25044
NSW-IX;2018-09-02-19:50:00;117864075411.58374
NSW-IX;2018-09-02-19:55:00;119687600125.96683
NSW-IX;2018-09-02-20:00:00;121752056642.496
NSW-IX;2018-09-02-20:05:00;124020936372.73132
NSW-IX;2018-09-02-20:10:00;126221925803.67976
NSW-IX;2018-09-02-20:15:00;128518965349.01718
NSW-IX;2018-09-02-20:20:00;130282701662.40898
NSW-IX;2018-09-02-20:25:00;131145595212.56892
NSW-IX;2018-09-02-20:30:00;131668326975.55827
NSW-IX;2018-09-02-20:35:00;132242589315.57002
NSW-IX;2018-09-02-20:40:00;132599827719.64224
NSW-IX;2018-09-02-20:45:00;133173901250.08713
NSW-IX;2018-09-02-20:50:00;133732242680.6123
NSW-IX;2018-09-02-20:55:00;134636621618.923
NSW-IX;2018-09-02-21:00:00;135988660626.57498
NSW-IX;2018-09-02-21:05:00;137136253075.15945
NSW-IX;2018-09-02-21:10:00;137856878337.30096
NSW-IX;2018-09-02-21:15:00;138635439694.35767
NSW-IX;2018-09-02-21:20:00;138821828542.40765
NSW-IX;2018-09-02-21:25:00;138365948779.04013
NSW-IX;2018-09-02-21:30:00;137880229236.82697
NSW-IX;2018-09-02-21:35:00;137346430354.76468
NSW-IX;2018-09-02-21:40:00;136766156744.14108
NSW-IX;2018-09-02-21:45:00;136782586037.17314
NSW-IX;2018-09-02-21:50:00;136586834577.18066
NSW-IX;2018-09-02-21:55:00;136765293358.68994
NSW-IX;2018-09-02-22:00:00;137558624424.60513
NSW-IX;2018-09-02-22:05:00;138717005427.3499
NSW-IX;2018-09-02-22:10:00;139398366483.2602
NSW-IX;2018-09-02-22:15:00;140841555732.7254
NSW-IX;2018-09-02-22:20:00;141960038878.74918
NSW-IX;2018-09-02-22:25:00;143108440726.49023
NSW-IX;2018-09-02-22:30:00;143715632507.3228
NSW-IX;2018-09-02-22:35:00;144258740663.36688
NSW-IX;2018-09-02-22:40:00;144342733095.4646
NSW-IX;2018-09-02-22:45:00;144978359120.2331
